"episodeId","episodeTitle","episodeCategories","episodeUrl","episodeImageUrls"
88063,"God Have Mercy on Me","Comedy,Drama","http://tapastic.com/episode/88063","http://d2me59s95dy7e.cloudfront.net/cartoons/18/f3/13/fb/b4b6139271bc4dadb71c49df6ec0ec78.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/3a/51/4c/c3/ef7889b2b4674721bb4cb47a55e40b06.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/a0/ff/82/41/0ddc95f4d0534fedbfc2df3b753ded0f.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/68/10/1c/05/f5734b576be44b9aaabc1cb387eb191e.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/46/9f/48/77/80d08e43408646ba831e090cf0f25395.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/9d/90/84/91/ce0e323acc834027827ca064566eadb9.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/fe/f2/98/b4/ed75fd263caf4a0a85b7c114ee6aa39e.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/b7/e4/39/cb/c9d2040392914622ad1e1d43373f9871.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/38/ff/71/78/051701d790ba4a668456a1286f7e7eb9.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/3f/43/69/66/44c48e8625a3472683e06d0968902d21.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/32/32/0e/4b/dcf572c9451d448895d2f2cb8225f355.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/de/6c/32/80/41db5a73e93c4f859e55b23cbea172c1.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/9d/57/83/73/20c4253f69a843daac2811b33dc8dfbc.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/6d/5f/6c/f8/86437547470a402a917f927c2f52e833.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/4a/85/e2/73/08df9f25222f439983640ebd29a5048f.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/ae/e8/21/a7/d785617bcd0947139e8408ef05ae68e2.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/fa/17/a0/ef/44e8a9e695c2446e9f2912e306d860c0.jpg"
87978,"Color Sundays: 2015 Resolution","Slice of Life,Comedy","http://tapastic.com/episode/87978","http://d2me59s95dy7e.cloudfront.net/cartoons/a9/58/d0/4c/fd9952ad1ae548ec9432f3078cf7d67d.jpg"
87972,"Saturday Morning Cartoons","Action,Fantasy,Sci-fi","http://tapastic.com/episode/87972","http://d2me59s95dy7e.cloudfront.net/cartoons/36/61/a3/2a/b938a4a62ccb473e9f75d71bccca2e4a.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/3f/0a/e9/66/a1d2d281f95f4ee5a7df2e2bb29b0f7b.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/75/52/38/9e/93dbcd4325b540b4bf899bd0d721ccd1.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/6c/1b/15/7b/5a5fcff88cf24fe2a724711932d19568.jpg"
87961,"THE MACHINE THAT TRAVELS IN TIME","Slice of Life,Comedy,Gaming","http://tapastic.com/episode/87961","http://d2me59s95dy7e.cloudfront.net/cartoons/f0/90/53/6a/8e4165a2602545bcbf6c172edc8611a1.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/80/32/57/25/073743b16d2d43ff8aeeb998373cf6af.jpg"
87926,"Gonna make you sweat","Slice of Life,Comedy","http://tapastic.com/episode/87926","http://d2me59s95dy7e.cloudfront.net/cartoons/6e/f9/10/8d/9584d801399c4d8cb9e3f0988f79a108.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/8e/bb/bb/cf/3980879f202d4da4900ca4dcbcc72332.jpg"
87910,"Paternity test","Slice of Life,Comedy","http://tapastic.com/episode/87910","http://d2me59s95dy7e.cloudfront.net/cartoons/35/58/d9/51/de0529e32640443599965ec87707a363.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/2f/90/c2/86/8ddd1c3548d642d3a4ec65dfc0520dea.jpg"
87898,"Worst best friend","Slice of Life","http://tapastic.com/episode/87898","http://d2me59s95dy7e.cloudfront.net/cartoons/bf/94/8e/4a/189d7f9b3f2c4fe9acde4e5dbe4f482a.jpg"
87878,"Chapter 1 - part 10","Action,Fantasy","http://tapastic.com/episode/87878","http://d2me59s95dy7e.cloudfront.net/cartoons/96/5e/9f/2a/73715ac91e664f8fa8b800f8325b4652.jpg"
87821,"BATPUN","Slice of Life,Comedy","http://tapastic.com/episode/87821","http://d2me59s95dy7e.cloudfront.net/cartoons/aa/ba/dc/65/06d331a2c8a147ae8855b551cc7e7f6d.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/6f/c1/fa/b8/92d01fd92bc44f4abb325f03e881d84a.jpg"
87786,"sympathy","Slice of Life,Comedy","http://tapastic.com/episode/87786","http://d2me59s95dy7e.cloudfront.net/cartoons/5c/93/7e/54/14b4403565ab40b2aa6efdb441f6b531.jpg"
87757,"Resolute","Comedy,Gaming","http://tapastic.com/episode/87757","http://d2me59s95dy7e.cloudfront.net/cartoons/7b/60/fa/65/8f73a1b4310e499fb7d2b253c2b08169.gif"
87730,"Chapter 2: Page 21","Action,Comedy,Sci-fi","http://tapastic.com/episode/87730","http://d2me59s95dy7e.cloudfront.net/cartoons/96/7b/e9/55/8cdd9ea48e234270b67de7e006d08373.jpg"
87718,"College Accomplishments","Slice of Life,Comedy","http://tapastic.com/episode/87718","http://d2me59s95dy7e.cloudfront.net/cartoons/16/00/47/89/60c48f0899814662b7b9c54253e7c9fb.jpg"
87633,"Chapter 1 Page 25","Action,Comedy,Fantasy","http://tapastic.com/episode/87633","http://d2me59s95dy7e.cloudfront.net/cartoons/1f/21/2d/d5/ee9cffe400744407b5afb63918ab48ae.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/a8/7a/86/bf/27cea31e942d425d832fa02d867f12ad.jpg"
